"","","","","",""
"20181024_194731","0.835","0.93","9.978","19.1727","72.95303"
"20181024_194732","-0.243","0.879","9.945","19.17271","72.95301"
"20181024_194732","-0.284","0.276","9.351","19.17271","72.95301"
"20181024_194733","0.061","-0.502","9.966","19.17273","72.953"
"20181024_194733","0.253","0.635","9.729","19.17273","72.953"
"20181024_194734","0.337","0.906","9.832","19.17275","72.95298"
"20181024_194734","0.217","0.989","9.832","19.17275","72.95298"
"20181024_194735","0.279","1.076","10.244","19.17276","72.95296"
"20181024_194735","0.59","1.985","9.298","19.17278","72.95295"
"20181024_194736","0.191","1.327","9.622","19.17278","72.95295"
"20181024_194736","0.325","1.205","10.096","19.17279","72.95293"
"20181024_194737","0.361","0.257","9.607","19.17279","72.95293"
"20181024_194737","-0.046","0.094","9.59","19.1728","72.95292"
"20181024_194738","-0.257","0.647","9.801","19.1728","72.95292"
"20181024_194738","0.337","0.788","9.871","19.17281","72.95291"
"20181024_194739","0.155","0.822","9.892","19.17281","72.95291"
"20181024_194739","0.21","1.028","9.885","19.17282","72.95289"
"20181024_194740","0.37","1.712","9.313","19.17282","72.95289"
"20181024_194740","0.684","1.509","9.646","19.17283","72.95289"
"20181024_194741","1.04","2.203","9.519","19.17283","72.95289"
"20181024_194741","0.056","1.93","9.452","19.17284","72.95287"
"20181024_194742","-0.659","0.233","10.024","19.17284","72.95287"
"20181024_194742","-0.114","-0.354","9.981","19.17286","72.95285"
"20181024_194743","-0.185","0.357","9.784","19.17286","72.95285"
"20181024_194743","0.593","0.661","9.954","19.17287","72.95284"
"20181024_194744","0.155","0.992","9.586","19.17287","72.95284"
"20181024_194744","0.147","0.922","9.737","19.17289","72.95282"
"20181024_194745","0.133","0.645","10.026","19.17289","72.95282"
"20181024_194745","0.042","-0.265","9.918","19.1729","72.9528"
"20181024_194746","-0.018","0.635","9.916","19.1729","72.9528"
"20181024_194746","0.08","0.728","9.816","19.17291","72.95279"
"20181024_194747","0.155","1.404","9.686","19.17291","72.95279"
"20181024_194747","-0.037","1.614","9.741","19.17292","72.95278"
"20181024_194748","0.313","2.093","8.925","19.17292","72.95278"
"20181024_194748","-0.281","1.701","9.55","19.17292","72.95277"
"20181024_194749","0.478","2.007","9.485","19.17292","72.95277"
"20181024_194749","0.282","1.923","9.26","19.17293","72.95276"
"20181024_194750","0.547","1.801","9.964","19.17293","72.95276"
"20181024_194750","0.188","1.918","9.672","19.17295","72.95274"
"20181024_194751","-0.319","1.971","9.325","19.17295","72.95274"
"20181024_194751","-0.171","2.136","9.38","19.17296","72.95272"
"20181024_194752","0.31","0.846","9.76","19.17296","72.95272"
"20181024_194752","0.305","0.681","9.523","19.17299","72.95269"
"20181024_194753","0.08","1.456","9.097","19.17299","72.95269"
"20181024_194753","0.09","1.045","9.04","19.17303","72.95265"
"20181024_194754","-0.068","1.066","10.05","19.17303","72.95265"
"20181024_194755","0.389","1.303","9.849","19.17307","72.95262"
"20181024_194755","0.193","0.908","10.294","19.17307","72.95262"
"20181024_194756","0.044","1.021","10.261","19.1731","72.95259"
"20181024_194756","0.09","1.641","8.942","19.1731","72.95259"
"20181024_194757","0.066","1.064","9.442","19.17316","72.95252"
"20181024_194757","0.466","1.016","9.844","19.17316","72.95252"
"20181024_194758","0.253","1.126","10.527","19.1732","72.95246"
"20181024_194758","-0.032","0.805","10.299","19.1732","72.95246"
"20181024_194759","-0.317","0.451","10.539","19.17324","72.95242"
"20181024_194759","-0.257","-0.921","9.957","19.17324","72.95242"
"20181024_194800","-0.24","-1.161","11.058","19.17327","72.95238"
"20181024_194800","0.152","0.961","8.932","19.17327","72.95238"
"20181024_194801","0.198","0.094","10.179","19.17329","72.95234"
"20181024_194801","-0.121","-0.399","10.871","19.17329","72.95234"
